employee_title,location,employee_status,review_title,pros,cons,rating_overall
 Frontend Engineer,Singapore,12 May 2022 ,Good welfare,"Good welfare and culture. I like it!
","Communication with mainland China is required.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Software Engineer,Singapore,19 May 2022 ,Good place and good people to work with,"flexible, remote-able, challenging, friendly. Good place and good people to work with
","no work balance. too many Chinese. no English env.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,,5 May 2022 ,Your lack of planning is not my crisis,"Good compensation.
Good welfare.
Good exposure.
Most people are obsessed with work.
Push you to your limits.
Improve your chinese proficiency.
","Minimum planning, maximum firefighting.
Project communications are not through email, messenger alerts every 10 seconds, impossible to focus.
I want this and I want it now.
Messy internal tools.
Chinese counterparts don't respect your time and assume you work their hours.
Advice to Management
Singapore is not China.
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Manager,,27 Apr 2022 ,Toss you away like garbage,"Good benefits (comparing to their Chinese counterparts)
","CFO said there won’t be layoffs during industry downtime at year end sharing and laid off tons and tons of people the second quarter is the next year. Group leaders are mostly narcissistic. Disorganized. Promote senior management who treated employees like robots.
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Senior Artist,,8 Apr 2022 ,tencent is the dream from my younger age,"Resource , tech support, good income, have it's own system for everything
","Need to be more international.
1 person found this review helpful
Helpful
Share
Repor",5.0
Anonymous,Singapore,20 Apr 2022 ,Good company except for mainly eastern cultures,"Good wellfare for employees.
Chance to work on different and have exposure to many different technology.
","- China 996 culture.
- Chinese tech companies management are more focused on overall group conformity then individual career growth and progression.
- Also if you are not chinese speaking, you will generally lose out due to the main counterparts are in china. 
- Tencent is attempting to branch out globally , however their culture which mainly stem from the china 996 culture will be a big shock to people who are mainly westernized.
Advice to Management
Don't lift and shift whatever management style that worked in China to the global market. Adapt it to the global market or you will just be making 1 step forward 2 steps back in progress.
1 person found this review helpful
Helpful
Share
Repor",4.0
 Corporate Functions,Singapore,1 Apr 2022 ,Balanced View,"1) This may be surprising but I'm having adequate WLB - Bosses are flexible, colleagues are supportive - End of the day, it's an output driven company - Work smart and deliver results, you can plan how your schedule goes.

2) Culture is great, there are team bonding budgets for team planned activities, social activity clubs for people to participate outside of work (running club / badminton club etc)

3) It's always about looking to be better, faster and of higher quality - The company is relentless in its pursuit of excellence which is why they have grown to what they are today

4) I was blessed with great team managers, through them I felt empowered and they had often pushed me to do better - Again, this is all in the mindset, do you perceive feedback as constructive or criticism?

5) Compensation is competitive but when is money ever enough?
","1) Systems are not the best, unintuitive and often fragmented - You will need to be versatile in finding alternative ways to track your own work processes and deliverables

2) Ambiguity is really for breakfast, lunch and dinner - If you enjoy solving problems as they come and not having a dull day, this will be great

3) Structure is more business group driven as opposed to a regional format, might take some adjusting of mindsets to get used to the matrixed environment

4) Market share in some business groups may not be great but that presents opportunities to make things happen

5) Pros mentioned above might vary from team to team, it still largely depends on the team's leadership and style - so please do your own due diligence during the interview process
Advice to Management
Generally, it was a positive experience for me and I've enjoyed myself working in Tencent. I had a very different perspective (positive one) from what you hear in the market about China HQ Tech companies. They are trying to do good and I hope they continue on the momentum.

Perhaps in order for work to be even more efficient, my recommendation is to move into a regional model with an overarching GM managing across business groups rather than siloed business groups - With that being said, there are complexities which may not be visible to me so I may not always know best.
1 person found this review helpful
Helpful
Share
Repor",5.0
 Network Strategy Manager,,18 Apr 2022 ,Definitely a BEST place to work for!,"Some may say this is a Chinese culture. Personally, I think Tencent Singapore is pretty international. We use a lot of English in our workplace esp in Singapore. Staffs are very friendly. Work Life Balance! One of the best companies that offers a lot of Benefits other companies I worked for doesn't!
","Tencent Singapore is still like a newbie in Singapore. There are some processes which are not integrated to the HQ yet. So it can be a little cumbersome at times.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,25 Mar 2022 ,quite decent workplace,"company values are overall quite good；
colleagues overall are young, nice and energetic people；
","still new to its internationalization；
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Product Manager,Singapore,23 Mar 2022 ,Only join if you’re comfortable with Chinese,"Great benefits and exposure to problems at scale
","Super Chinese culture, if you’re Chinese is not strong please stay away
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Senior Researcher,Singapore,21 Mar 2022 ,Good working environment and nice colleagues.,"Everyone has good qualification and is smart there and I feel I can learn from them everyday.
","The software infrastructure of the overseas offices is not easy to use, compared to AWS or azure.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Data Analyst,,17 Feb 2022 ,Great culture,"Great culture, autonomy over owns work
","Need to be able to converse in mandarin
1 person found this review helpful
Helpful
Share
Repor",5.0
 Software Test Engineer,Singapore,3 Mar 2022 ,Not perfect,"powerful company, good welfare, nice pay
","bad and tense relationships between co-wokers, terrible code
1 person found this review helpful
Helpful
Share
Repor",3.0
 Software Engineer,,13 Feb 2022 ,good,"good
good
goodgood
good
good
good
good
friendly friendly
friendly friendly
friendly
high salary
high bonus
","nothing
nothing a
nothing b 
nothing c
nothing d
nothing e
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,21 Mar 2022 ,bad,"no any good points, very bad
","it's a very bad company, many ot
Be the first to find this review helpful
Helpful
Share
Repor",1.0
 Senior Software Engineer,Singapore,22 Feb 2022 ,Yet Another Company Review,"1. Good Compensation
2. A lot of internal resources
3. Company culture and admin quite good.
","1. Ancient infra, huge tech debts, messy workflow mgmt will bring you frustration and make you question your decision
2. Deficient cross-team/cross-department communication
3. Leader generally only pretends to care about teammates instead of giving actual support. They are mostly busy with entertaining upper mgmt
2 people found this review helpful
Helpful
Share
Repor",3.0
 Engineer,,6 Feb 2022 ,good company but long working hr,"friendly culture and smart colleagues
","prepare to have a lot of hard work and long working hours.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,,16 Jan 2022 ,A stressful place but also can learn a lot,"serve millions of customers around the world. 
learn a lot and quite a lot resource to learn
","very stressful and working hour is quite long
2 people found this review helpful
Helpful
Share
Repor",5.0
 Senior Data Scientist,Singapore,1 Feb 2022 ,Good experience in this company,"good salary; good team activities
","heavy work, deficient time for having a rest
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Talent Sourcer,Singapore,28 Jan 2022 ,A great company for the young,"A lot of successful colleagues to learn with, competitive wage
","Big pressure, hard to get work-life-balance
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Business Analyst,,27 Dec 2021 ,great,"comfortable and great atmospher, like it
","lots work to do and tiring
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Analyst,Singapore,18 Nov 2021 ,Good,"Great, no further comments for now
","na, no comments for now
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 User Experience Designer,Singapore,30 Sept 2021 ,Nice work,"Tencent Holdings Co., Ltd., referred to as Tencent, is a Chinese multinational corporate holding company.
","Overtime is more serious in some departments
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Manager,,27 Sept 2021 ,Employees,"The high salary and promotive works
","The long working hours in the tencent
1 person found this review helpful
Helpful
Share
Repor",4.0
Anonymous,Singapore,6 Sept 2021 ,Contractor,"So-so job. Chinese culture. Young colleagues. Rapidly expanding the Singapore team. WLB for contractors is generally not bad.
","Not recommended for contractors. Bad for career progression because mostly repetitive tasks and internal tools which are not applicable outside of the company. With the same compensation, there are better jobs elsewhere where you would be considered as being part of the company and enjoy company benefits.
4 people found this review helpful
Helpful
Share
Repor",3.0
 Senior Recruiter,Singapore,18 Aug 2021 ,Overall great experience,"- flat structure, no hierarchy and mirco-management
- Various of opportunities to try out different things, great exposure
- Good culture: start-up environment, employee-driven, colleagues are mostly from top companies with solid background, easy-going, can learn a lot from them
- Opportunity to do impactful work to achieve personal career goals
","- Benefits can be improved as compared with other top tech firms in the local market
- Process can be more structured and organized.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,31 Aug 2021 ,engineer,"it's for new grad. u can find a not bad job when leaving.
","too many works. boss is very push.
1 person found this review helpful
Helpful
Share
Repor",3.0
 Senior Recruiter,Singapore,29 Jul 2021 ,The Chinese Tech Company that cares for it's employees. Worth Recommending!,"- great company values and indeed they practiced it in Singapore- ""Value for Users, Tech for Good""
- as I came from another fast-growing Chinese Tech Company, I can say that not all Chinese tech companies are the same category. Tencent Singapore definitely demonstrated their values and truly care for it's employees, at least for my team
- Though my manager is based at Shenzhen HQ, there's no challenge in communicating across the region and my manager understand the importance of Work Life Balance in Singapore
- 996 is NOT valid in Singapore office
- as a recruiter, I get to work on many pioneer roles and for the exciting fast growing business, which is EXCITING!
- almost everyone is very friendly and approachable so far
- overall great attractive remuneration
","- too bad we can't really work in office and meet with other colleagues due to covid period
- doesn't have 'own office' like Google yet, but the shared office for now is very comfortable too 
- the tech system internally is not the best and many areas for improvements but not a major concern
- the overall perks and benefits can continue to improve
Advice to Management
pls continue to stay competitive by improving on the perks and benefits!

(I love the Virgin Active membership, hopefully can extend beyond one-year!)
2 people found this review helpful
Helpful
Share
Repor",5.0
 Fintech,Singapore,15 Aug 2021 ,Nice to try,"colleagues are nice and friendly.
many opportunities as there are a lot work waiting for you.
work life balance.
good training.
","Lack of innovation.
There is a fixed proportion of layoffs, and if you make mistakes at work, you may lose your job.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,Singapore,15 Jul 2021 ,Good,"International, good company culture, pay fee is pretty good
","Too much work, hard to keep WLB
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Big Data Engineer,,20 Jun 2021 ,Nice to work here,"Good WLB and nice work culture
","Not that much welfare comparing similar companies
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,23 May 2021 ,Overall,"Great place to work with good culture
","Need to manage a lot of ad hoc tasks
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,,14 May 2021 ,Not bad but push,"Not bad, nice welfare and nice salary
","push, had to work hard
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Software Engineer,Singapore,24 Feb 2021 ,An Awesome Company,"Very good salary for a developer. Company culture is good. Lots of benefits and out of work activities. Good progression path.
","Maybe ppl here can speak more eNGLISH
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Product Manager,Singapore,7 Mar 2021 ,good,"good salary in SZ to live a decent life
","not so good opportunities in oversea markets
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Data Analyst,,4 Feb 2021 ,good,"co-workers are easygoing and energetic
","fast-paced , a lot of work to do
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Data Analyst,Singapore,8 Dec 2020 ,intern,"Good salary, good office, good food
","No work/life balance at all
1 person found this review helpful
Helpful
Share
Repor",4.0
 Data Analyst,,22 Oct 2020 ,"You have to be able to navigate the Chinese culture, speaking in Chinese is a must","High pay, high growth in terms of money, getting to know work culture of China, which is very different to the western companies
","Some of your colleagues might subtly insult you and making sure you understand their sarcasm. Don’t recommend if you see yourself having a good time in a more western culture company
Advice to Management
Might just fly people from China to overseas, those who actually enjoyed working abroad probably won’t fit in.
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Data Engineer,,1 Oct 2020 ,a good company,"Have a good growth in development
","Everything is good, noting to comment
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Software Engineer,,30 Oct 2020 ,poor work life balance,"good office environment, nice building, free breakfast.
","always work over time, total package maybe good, but hour rate is terrible
1 person found this review helpful
Helpful
Share
Repor",1.0
Anonymous,,27 Sept 2019 ,Account Director,"Biggest internet company in China
","To B business is a little weakness
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,3 Jul 2019 ,The best company in China,"Full of the greatest young people.
","Mid level management is the weakness
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,21 Aug 2017 ,good environment and people,"good salary, very stable platform to try what you want. people are smart
","too stable, the organization is becoming less flat
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,6 Aug 2016 ,software engineer,"It's a big stage
","Salary is a bit low
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Senior Product Manager,"Shenzhen, Guangdong",20 May 2022 ,How is it feeling when start working in tencent after graduate,"Tencent is a great company to work in ，it has good culture and values and also can motivate workers to reach self-realization
","Sometimes the internal process may be a little heavy
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,17 May 2022 ,In general a good work place,"A good place to learn and grow.
","There is no work life balance.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 User Experience Designer,,16 May 2022 ,perfect company,"flexible great opportunities for graduate students
","I don't see it's cons
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Marketing Specialist,Bangkok,14 May 2022 ,Great team,"People are very nice, friendly and helpful. Good office infra with free lunch! A lot of parties throughout the year!
","Due to the company is a global co., so some projects might take sometimes (a little bit longer than expectation) to finish task.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Analyst,,13 May 2022 ,Good company,"Good culture and teams, vision
","lack of creativity. Salary is so so in the industry
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,9 May 2022 ,good,"good salary ; better coworkers and communications
","many presentations must be done
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Script Doctor,Kuala Lumpur,7 May 2022 ,A potential for further expansion of local content,"I have no further comments
","I have been made redundant when I have not yet been given the chance to make real change in the Malaysian content industry for an International OTT platform
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Project Manager,Hong Kong,5 May 2022 ,Great,"Good work and challenge is great
","Location is an issue for sure
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Tech Leader,,4 May 2022 ,Wechat Tencent,"Big impact and bright future
","996, busy work day and night
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Software Engineer,"Palo Alto, CA",19 May 2022 ,Poorly Managed Media Lab,"Not a lot of pros: 
Good work
Free lunch
Nice office
","No sync among managers and higher executive
Only Chinese friendly, difficult for non-Chinese folks to adjust
No joining benefits
No relocations
No RSUs
Micromanaging
Odd working timing
Too much work load
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your feedback. Our USA operations have just recently been set up, and many teams are in a 'startup' mode. But we'll pass the feedback to local team to ensure the work environment can be more international and friendly to non-Chinese",2.0
 Gameplay Designer,"Shenzhen, Guangdong",3 May 2022 ,Nice Team at Tencent,"Company resources: free breakfast and dinner, free internal courses, gym, discounted nail spa
","A lot of hierarchical issues, hard for junior individuals to speak up
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for the honest review, we'll strive to improve on team dynamics. We have a relatively flat structure of a startup, but we are always open to feedback from all levels",5.0
 Technical Artist,,2 May 2022 ,good,"Good salaries, but differentiate based on what studio group you are in.
","Bad working environment and bad work time.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,17 May 2022 ,project management,"good environment, nice atmosphere, pretty good
","nothing to complain, everything is great
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 WeChat Pay Manager,,14 May 2022 ,Tiring but rewarding,"good team spirit, can understand market development, a department with future potential
","high workload, a lot of presentations, management has high expectations on employees
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Operations Manager,,14 May 2022 ,"Good benefits, bad management","Its a good company with good benefits and a lot of opportunities.
","Main issue lies in the director level management that often is more worried about reports than actually getting things done.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Global Recruiter,"Palo Alto, CA",28 Apr 2022 ,Great company,"I like the company culture, very humble and collaborative
","TOO HQ FOCUS

Managers are old
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your feedback, glad to receive a 5-star review. Tencent America is gradually becoming more independent from HQ, but this is a process that may take some time",5.0
 UX Director,"Los Angeles, CA",28 Apr 2022 ,Best pay in the industry,"Excellent pay, creative freedom, excellent benefits and work-life balance, remote work option.
","I have no complaints for Tencent.
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your review, glad you had a good experience with us",5.0
 Senior IOS Developer,,13 May 2022 ,1,"maybe strong work sigl weig
","not good of work life balance
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Designer,,12 May 2022 ,/,"Good benefit, nice working place
","bad management, concentrate internal influence more than product development
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Global Campus Recruitment Manager,,28 Apr 2022 ,Great experience at Tencent,"Amazing work atmosphere
Flexible working hours
Great colleagues
","not quite well known internationally
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your review. Glad to hear you had a 5-star experience",5.0
 Data Scientist,"Shenzhen, Guangdong",12 May 2022 ,Review of Tencent,"Good atmosphere
good benefits and salary
","No significant cons. I am satisfied
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thank you, glad to hear that you have had a positive experience with us",4.0
 Machine Learning Engineer,,10 May 2022 ,Review,"Good work experience
Good benefits and salary
","No significant cons. I am satisfied with current employment
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,10 May 2022 ,Software Engineer,"- A lot of meterial for junior to learn
- Salary and benefits are good
","- Bad IT Infrastructure
- Complicated team relations
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,24 Apr 2022 ,Nice company to work at,"friendly people and good environment
","long working hours and some times intense workloads
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Human Resources Manager,,24 Apr 2022 ,Nice Company to work,"Nice leadership, great company culture, good payment
","food in cafe can be improved
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for the nice review! We'll try to improve on the coffee :) ☕",5.0
 Senior Software Engineer,"Shanghai, Shanghai",9 May 2022 ,Tencent is a good option in China,"Free breakfast & dinner
Free bus
Top 1 tech company in China glories
","work life imbalance
high apartment price in Shanghai.
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
thank you 😊 ",4.0
 Marketing,,8 May 2022 ,It is awesome in Tencent,"Quality business, service to one billion plus users
","The corporate culture is not particularly perfect
Advice to Management
更多的关注基层员工的期望
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Concept Artist,"Shanghai, Shanghai",6 May 2022 ,concept art,"awesome team. awesome benefits, awesome projects
","some teams have unhealthy working hours
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your review. Glad to hear of your positive experience. 
We are aware of work/life balance issues in the Tech industry and in China we are now promoting an healthier & more flexible schedule, including Wednesday as a family day, so that employees can get off at 6pm",4.0
 Software Engineer,,21 Apr 2022 ,good,"very nice and good company culture
","for more cons. please see profile
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Product Manager,,21 Apr 2022 ,good,"a great company from china
","sometimes there have less creative
Advice to Management
be creative
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Technical Program Manager,,5 May 2022 ,Famous but not in technical,"Good fame and work conditions, benefit
","Management is a mess. Could be better but none cares.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Software Engineer,"Wuhan, Hubei",5 May 2022 ,Golang,"Skilled at Golang 
Skilled at backend develop
","develop cloud market backend server
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Great, thank you for your 5 years of service! ",4.0
 Account Manager,,5 May 2022 ,Good employer,"handsome payment
well-structured organization
good benefits and care for employees
","hard to get promotion
party conflict
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Product Manager,,20 Apr 2022 ,Incredible company,"very good pay and culture
","too stressful, and period work overtiem
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Project Manager,,21 Apr 2022 ,Really good work atmosphere！,"energetic colleagues and friends，smooth communication and feel free to explore the new things in your work!
","sometimes travel for business a lot, feel a little tired.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,"Shenzhen, Guangdong",19 Apr 2022 ,Top company in China in terms of income and workload,"They offered the top salary and good benefits, which would attract many talented people.
","Tencent is just following the past profit projects. Few innovations was created.
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your honest feedback",5.0
Anonymous,,19 Apr 2022 ,nice company,"tech giant to work with
","nothing yet to know or say
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Front End Engineer,,17 Apr 2022 ,nice,"big platform, better welfare, lead technology
","busy, 
lack of promotion,
lack of wlb
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Risk Management,,14 Apr 2022 ,Very supporting employer,"1. good culture
2. great administrative support
3. friendly working environment
4. smart colleagues
","1. relative longer working hour
2. get home late
Advice to Management
good job pony 

you make a great company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Project Manager,"Shenzhen, Guangdong",12 Apr 2022 ,Impressive Woring Experience,"Multiple Opportunities in various fields.
","Sometimes overwork a little bit
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
This is great, especially coming from someone who has been with us for more than 5 years. Thanks a lot for your feedback",5.0
 Senior Software Engineer,,12 Apr 2022 ,good company,"the working environment is pretty good. 
the company always provides presents to employee.
","work life balance is bad. always working overtime.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,12 Apr 2022 ,Great place to work in Beijing,"1. Competitive salary
2. Clear career path
3. Nice office
","1. Overtime work (Normal in Beijing)
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 User Experience Researcher,,13 Apr 2022 ,Big Tech,"Big Tech Company with redundant resources you can use
","complex organizational procedures that can consme a lot of your time
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Full Stack Developer,,27 Apr 2022 ,Working in Tencent is a valuable experience,"I can get in touch with many technical giants and learn a lot from them. And the salary is very good
","The meeting usually needs to confirm some small functional details, which takes up a lot of our working time. In order to complete the functional details of daytime confirmation, we must work overtime.

This may be the KPI assessment of some people, but we often need to participate in it
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Game Operations Specialist,"Shenzhen, Guangdong",10 Apr 2022 ,Foreign Staff are well taken care of,"Towards the end of 2021, I had a couple of offers from the gaming companies I interviewed with. I was sceptical about whether to choose Tencent or a foreign company based in China. After hearing rave reviews, I decided to join Tencent, and I don't regret it a bit. 

- Excellent welfare
- Friendly colleagues 
- Flex work hours 
- Productive environment 
- Professional HR staff
- Free coffee (This might be irrelevant for many, but as a coffee lover who spends a fortune every month on good coffee beans, it's a perk for me)
","- The HR process takes time, which is understandable given the massive number of onboarding personnel. So this might test your patience. 
- The resources for foreign employees are not as abundant as for the local staff. So we have to accept it and move on.
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your review! We really value your feedback, especially coming from your perspective. We highly value D&I and we are taking steps to ensure different cultures/nationalities can find an inclusive environment at Tencent",5.0
Anonymous,,10 Apr 2022 ,Good office environment and work atmosphere!,"In the top-level office environment in the industry, the average age of the working team is very young, so there is good communication between colleagues and a good work atmosphere. Flexible working system, so you can arrange working hours independently.
","Still has a little bit of work pressure.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Data Analyst,,22 Apr 2022 ,Nice Pay Low Work Life Balance,"1. locally comatitive pay
2. insurance
","1. no work life balance
2. pay is not enough to support a apartment.
Advice to Management
no
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Business Development Manager,,22 Apr 2022 ,"Business Development Manager, Partnership Relations, Strategic Partnership","Develop and and implement innovative partnership strategies to achieve company's goals
Skills in negotiation
","Chinese company 
Extended Work hours
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Recruitment Manager,"Shenzhen, Guangdong",7 Apr 2022 ,A nice and different journey in my career,"* Mentor assigned for me in first 3 months to help me get into Tencent and the team easily.
*Nice benefits like free coffee, gym, shuttle bus and festival celebration
*Lots of training courses for employees to learn
*Manager and the team are very professional, lots of knowledge and skills to learn from them. Easy and equal to discuss everything openly.
*Change is quick here, busy but you can grow rapidly.
","Looking forward to more cross-cultural things to make the company more international.
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Glad to hear of your positive experience. Thanks for taking the time to give feedback",5.0
 Recruiter,"Shenzhen, Guangdong",7 Apr 2022 ,Challenging and Rewarding Environment,"- Great work environment 
- open-minded and internationally experienced management 
- Individual ownership
- good company perks (gym, and etc)
","- long decision making processes internally
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Great to hear that you enjoy the work environment at Tencent. We are on a journey to become more global, therefore we are constantly upgrading our operations, to ensure we can be a sustainable and agile company",5.0
 Computer Programmer,,22 Apr 2022 ,Computer game developer,"Master several programming language including C++
Master using game engines including UE4 and Unity
","Normal communicating skill
Do not want to overwork routinely
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,7 Apr 2022 ,Overall a Good Company,"- Good Culture
- Flexibility
- Competitive Salary and Benefit
","Fast Pace, Many Things to Learn
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Researcher,,5 Apr 2022 ,Researcher,"good payment, flexible environment, good people
","high workload, plan less, keep trying and hit the wall, and try again
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Game Designer,,6 Apr 2022 ,1,"so cool to work here welcome vibe
","as no too many cons
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Marketing Solutions Consultant,,18 Apr 2022 ,4 Star Company,,"ltant 
Recommend
CEO Approval
Business Outlook
Pros
Great Welfare and Organized Structure
Cons
A little bit tough though
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,,19 Apr 2022 ,996,"well paid, nothing else actually
","9 9 6 every week
Be the first to find this review helpful
Helpful
Share
Repor",2.0
Anonymous,,19 Apr 2022 ,Bad wlb,"High Salary, high bonus, nice working environment
","bad work-life balance. Easily gets fired after 35 years old.
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 ML/AI Engineer,,18 Apr 2022 ,tencent,"tencent is good at its company culture
","tencent needs to be more globalization
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Senior Software Engineer,,17 Apr 2022 ,Good Company with Stable Environment,"Good WLB
Good team
Good working environment
Good diversity 
OK pay
","Not too much room to grow
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 UX Designer,"Shenzhen, Guangdong",16 Apr 2022 ,6,"A big and growing company
","No work life balance, usually burning out
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Sorry to hear of your experience with work/life balance. Employees' health is our utmost concern. Please do contact a member of your local HR & support staff to discuss this important matter",3.0
 Global Operations,"Shenzhen, Guangdong",31 Mar 2022 ,Chinese Tech giant on the way to become a Global player,"- Startup mindset, flat teams
- Nice mix of China/International colleagues 
- Leading position in videogames 
- Good work environment: more flexible & semi-remote opportunities
- Focus on 'quality', not just 'fast' esp. on Games/Talent/Design
","- Most of the culture is quite China-centric (but I see some changes)
- Globalization is still in progress: main decisions & resources are at the HQ
Advice to Management
Keep going!
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your valuable feedback. You are right, globalization is in process, we are taking steps to improve our local operations to ensure that we have better operations in different regions. Thanks and wish you a good journey with Tencent",5.0
 Client Engineer,,14 Apr 2022 ,work in tencent,"friendly colleagues, helpful mentor, well-structured code
","The promotion path is not clear
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Intern,Hong Kong,31 Mar 2022 ,"Great company, Nice Colleagues","Fruitful learning resources, Friendly colleagues, Good welfare
","relatively demanding, the pace is fast
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thank you for your valuable feedback, we are glad you had a good experience at Tencent",5.0
Anonymous,,29 Mar 2022 ,Good company,"Great work atmosphere and high-tech oriented
","Full of hard-working colleagues around you
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Human Resources Specialist,"Shenzhen, Guangdong",30 Mar 2022 ,Relatively Good to join,"flexible working style
working with talents
","bad work-life balance.
location of HQ
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your feedback. We are definitely embracing more flexible working styles, we hope you'll continue to have a positive experience at Tencent",5.0
